date,AAPL_unscaled
2024-01-01,14
2024-01-02,100
2024-01-03,87
2024-01-04,84
2024-01-05,86
2024-01-06,25
2024-01-07,17
2024-01-08,78
2024-01-09,78
2024-01-10,72
2024-01-11,73
2024-01-12,73
2024-01-13,22
2024-01-14,14
2024-01-15,27
2024-01-16,73
2024-01-17,70
2024-01-18,85
2024-01-19,90
2024-01-20,27
2024-01-21,16
2024-01-22,80
2024-01-23,77
2024-01-24,84
2024-01-25,80
2024-01-26,72
2024-01-27,20
2024-01-28,16
2024-01-29,76
2024-01-30,86
2024-01-31,92
2024-02-01,100
2024-02-02,93
2024-02-03,19
2024-02-04,14
2024-02-05,51
2024-02-06,44
2024-02-07,45
2024-02-08,44
2024-02-09,42
2024-02-10,12
2024-02-11,9
2024-02-12,38
2024-02-13,38
2024-02-14,44
2024-02-15,43
2024-02-16,39
2024-02-17,14
2024-02-18,7
2024-02-19,14
2024-02-20,36
2024-02-21,37
2024-02-22,47
2024-02-23,39
2024-02-24,11
2024-02-25,10
2024-02-26,38
2024-02-27,46
2024-02-28,47
2024-02-29,36
2024-03-01,50
2024-03-02,16
2024-03-03,12
2024-03-04,64
2024-03-05,82
2024-03-06,75
2024-03-07,69
2024-03-08,69
2024-03-09,17
2024-03-10,12
2024-03-11,50
2024-03-12,56
2024-03-13,51
2024-03-14,50
2024-03-15,47
2024-03-16,11
2024-03-17,12
2024-03-18,61
2024-03-19,55
2024-03-20,53
2024-03-21,100
2024-03-22,79
2024-03-23,20
2024-03-24,15
2024-03-25,57
2024-03-26,53
2024-03-27,55
2024-03-28,47
2024-03-29,23
2024-03-30,9
2024-03-31,10
