date,ADM_unscaled
2024-01-01,26
2024-01-02,55
2024-01-03,56
2024-01-04,56
2024-01-05,55
2024-01-06,41
2024-01-07,41
2024-01-08,56
2024-01-09,59
2024-01-10,55
2024-01-11,57
2024-01-12,51
2024-01-13,36
2024-01-14,33
2024-01-15,58
2024-01-16,56
2024-01-17,57
2024-01-18,57
2024-01-19,57
2024-01-20,38
2024-01-21,35
2024-01-22,100
2024-01-23,96
2024-01-24,77
2024-01-25,71
2024-01-26,67
2024-01-27,41
2024-01-28,37
2024-01-29,68
2024-01-30,66
2024-01-31,73
2024-02-01,98
2024-02-02,91
2024-02-03,58
2024-02-04,50
2024-02-05,96
2024-02-06,98
2024-02-07,97
2024-02-08,91
2024-02-09,86
2024-02-10,54
2024-02-11,53
2024-02-12,78
2024-02-13,82
2024-02-14,82
2024-02-15,91
2024-02-16,89
2024-02-17,59
2024-02-18,52
2024-02-19,91
2024-02-20,98
2024-02-21,100
2024-02-22,94
2024-02-23,90
2024-02-24,59
2024-02-25,58
2024-02-26,92
2024-02-27,98
2024-02-28,96
2024-02-29,93
2024-03-01,87
2024-03-02,59
2024-03-03,51
2024-03-04,97
2024-03-05,96
2024-03-06,92
2024-03-07,92
2024-03-08,82
2024-03-09,57
2024-03-10,52
2024-03-11,89
2024-03-12,95
2024-03-13,93
2024-03-14,96
2024-03-15,82
2024-03-16,56
2024-03-17,50
2024-03-18,95
2024-03-19,100
2024-03-20,94
2024-03-21,93
2024-03-22,81
2024-03-23,49
2024-03-24,49
2024-03-25,86
2024-03-26,85
2024-03-27,89
2024-03-28,84
2024-03-29,57
2024-03-30,50
2024-03-31,45
