date,AMD_unscaled
2024-01-01,61
2024-01-02,69
2024-01-03,72
2024-01-04,68
2024-01-05,68
2024-01-06,67
2024-01-07,65
2024-01-08,70
2024-01-09,74
2024-01-10,70
2024-01-11,65
2024-01-12,66
2024-01-13,65
2024-01-14,63
2024-01-15,60
2024-01-16,72
2024-01-17,74
2024-01-18,76
2024-01-19,75
2024-01-20,66
2024-01-21,66
2024-01-22,79
2024-01-23,74
2024-01-24,81
2024-01-25,83
2024-01-26,83
2024-01-27,74
2024-01-28,69
2024-01-29,81
2024-01-30,100
2024-01-31,96
2024-02-01,91
2024-02-02,90
2024-02-03,78
2024-02-04,80
2024-02-05,87
2024-02-06,84
2024-02-07,82
2024-02-08,90
2024-02-09,84
2024-02-10,77
2024-02-11,82
2024-02-12,80
2024-02-13,84
2024-02-14,79
2024-02-15,79
2024-02-16,85
2024-02-17,79
2024-02-18,79
2024-02-19,76
2024-02-20,88
2024-02-21,88
2024-02-22,100
2024-02-23,92
2024-02-24,81
2024-02-25,77
2024-02-26,86
2024-02-27,84
2024-02-28,82
2024-02-29,87
2024-03-01,100
2024-03-02,83
2024-03-03,82
2024-03-04,97
2024-03-05,94
2024-03-06,90
2024-03-07,92
2024-03-08,98
2024-03-09,83
2024-03-10,81
2024-03-11,92
2024-03-12,89
2024-03-13,90
2024-03-14,89
2024-03-15,86
2024-03-16,81
2024-03-17,79
2024-03-18,89
2024-03-19,92
2024-03-20,91
2024-03-21,92
2024-03-22,89
2024-03-23,82
2024-03-24,82
2024-03-25,95
2024-03-26,86
2024-03-27,85
2024-03-28,81
2024-03-29,75
2024-03-30,73
2024-03-31,81
