date,AXON_unscaled
2024-01-01,48
2024-01-02,63
2024-01-03,73
2024-01-04,87
2024-01-05,73
2024-01-06,66
2024-01-07,61
2024-01-08,81
2024-01-09,90
2024-01-10,90
2024-01-11,84
2024-01-12,74
2024-01-13,65
2024-01-14,59
2024-01-15,68
2024-01-16,80
2024-01-17,90
2024-01-18,81
2024-01-19,82
2024-01-20,62
2024-01-21,73
2024-01-22,100
2024-01-23,90
2024-01-24,94
2024-01-25,96
2024-01-26,82
2024-01-27,71
2024-01-28,67
2024-01-29,96
2024-01-30,98
2024-01-31,98
2024-02-01,80
2024-02-02,71
2024-02-03,53
2024-02-04,58
2024-02-05,81
2024-02-06,81
2024-02-07,91
2024-02-08,92
2024-02-09,78
2024-02-10,61
2024-02-11,54
2024-02-12,71
2024-02-13,77
2024-02-14,83
2024-02-15,75
2024-02-16,80
2024-02-17,59
2024-02-18,60
2024-02-19,73
2024-02-20,80
2024-02-21,78
2024-02-22,79
2024-02-23,75
2024-02-24,53
2024-02-25,67
2024-02-26,82
2024-02-27,88
2024-02-28,100
2024-02-29,88
2024-03-01,87
2024-03-02,69
2024-03-03,73
2024-03-04,100
2024-03-05,95
2024-03-06,98
2024-03-07,95
2024-03-08,78
2024-03-09,56
2024-03-10,65
2024-03-11,89
2024-03-12,89
2024-03-13,91
2024-03-14,88
2024-03-15,82
2024-03-16,64
2024-03-17,68
2024-03-18,90
2024-03-19,92
2024-03-20,92
2024-03-21,93
2024-03-22,77
2024-03-23,59
2024-03-24,66
2024-03-25,87
2024-03-26,82
2024-03-27,89
2024-03-28,78
2024-03-29,65
2024-03-30,56
2024-03-31,54
