date,BAC_unscaled
2024-01-01,68
2024-01-02,91
2024-01-03,87
2024-01-04,88
2024-01-05,87
2024-01-06,77
2024-01-07,79
2024-01-08,91
2024-01-09,92
2024-01-10,93
2024-01-11,95
2024-01-12,100
2024-01-13,78
2024-01-14,89
2024-01-15,98
2024-01-16,96
2024-01-17,98
2024-01-18,91
2024-01-19,92
2024-01-20,80
2024-01-21,84
2024-01-22,93
2024-01-23,91
2024-01-24,86
2024-01-25,92
2024-01-26,81
2024-01-27,79
2024-01-28,77
2024-01-29,95
2024-01-30,93
2024-01-31,97
2024-02-01,99
2024-02-02,89
2024-02-03,80
2024-02-04,88
2024-02-05,100
2024-02-06,98
2024-02-07,94
2024-02-08,87
2024-02-09,75
2024-02-10,68
2024-02-11,71
2024-02-12,78
2024-02-13,89
2024-02-14,89
2024-02-15,85
2024-02-16,84
2024-02-17,75
2024-02-18,75
2024-02-19,93
2024-02-20,95
2024-02-21,89
2024-02-22,91
2024-02-23,80
2024-02-24,72
2024-02-25,81
2024-02-26,95
2024-02-27,97
2024-02-28,96
2024-02-29,98
2024-03-01,70
2024-03-02,66
2024-03-03,75
2024-03-04,100
2024-03-05,91
2024-03-06,81
2024-03-07,69
2024-03-08,60
2024-03-09,61
2024-03-10,66
2024-03-11,74
2024-03-12,76
2024-03-13,76
2024-03-14,77
2024-03-15,88
2024-03-16,66
2024-03-17,67
2024-03-18,80
2024-03-19,75
2024-03-20,80
2024-03-21,80
2024-03-22,70
2024-03-23,64
2024-03-24,66
2024-03-25,79
2024-03-26,80
2024-03-27,78
2024-03-28,64
2024-03-29,62
2024-03-30,60
2024-03-31,58
