date,META_unscaled
2024-01-01,75
2024-01-02,78
2024-01-03,77
2024-01-04,84
2024-01-05,77
2024-01-06,73
2024-01-07,100
2024-01-08,78
2024-01-09,77
2024-01-10,80
2024-01-11,85
2024-01-12,82
2024-01-13,71
2024-01-14,67
2024-01-15,72
2024-01-16,74
2024-01-17,77
2024-01-18,82
2024-01-19,81
2024-01-20,73
2024-01-21,67
2024-01-22,83
2024-01-23,79
2024-01-24,75
2024-01-25,85
2024-01-26,77
2024-01-27,68
2024-01-28,66
2024-01-29,77
2024-01-30,81
2024-01-31,89
2024-02-01,73
2024-02-02,100
2024-02-03,62
2024-02-04,57
2024-02-05,64
2024-02-06,61
2024-02-07,61
2024-02-08,60
2024-02-09,58
2024-02-10,50
2024-02-11,48
2024-02-12,50
2024-02-13,55
2024-02-14,57
2024-02-15,64
2024-02-16,55
2024-02-17,49
2024-02-18,49
2024-02-19,50
2024-02-20,51
2024-02-21,52
2024-02-22,58
2024-02-23,52
2024-02-24,47
2024-02-25,45
2024-02-26,53
2024-02-27,54
2024-02-28,52
2024-02-29,55
2024-03-01,30
2024-03-02,27
2024-03-03,25
2024-03-04,29
2024-03-05,100
2024-03-06,39
2024-03-07,35
2024-03-08,31
2024-03-09,26
2024-03-10,25
2024-03-11,30
2024-03-12,30
2024-03-13,30
2024-03-14,31
2024-03-15,27
2024-03-16,25
2024-03-17,25
2024-03-18,29
2024-03-19,28
2024-03-20,31
2024-03-21,31
2024-03-22,29
2024-03-23,26
2024-03-24,27
2024-03-25,30
2024-03-26,29
2024-03-27,29
2024-03-28,30
2024-03-29,28
2024-03-30,25
2024-03-31,25
