date,TSLA_unscaled
2024-01-01,7
2024-01-02,35
2024-01-03,32
2024-01-04,28
2024-01-05,26
2024-01-06,7
2024-01-07,5
2024-01-08,25
2024-01-09,27
2024-01-10,26
2024-01-11,30
2024-01-12,35
2024-01-13,9
2024-01-14,6
2024-01-15,13
2024-01-16,35
2024-01-17,34
2024-01-18,32
2024-01-19,33
2024-01-20,10
2024-01-21,7
2024-01-22,34
2024-01-23,37
2024-01-24,61
2024-01-25,100
2024-01-26,68
2024-01-27,16
2024-01-28,10
2024-01-29,44
2024-01-30,48
2024-01-31,51
2024-02-01,91
2024-02-02,95
2024-02-03,28
2024-02-04,19
2024-02-05,100
2024-02-06,100
2024-02-07,93
2024-02-08,85
2024-02-09,82
2024-02-10,24
2024-02-11,19
2024-02-12,79
2024-02-13,82
2024-02-14,79
2024-02-15,91
2024-02-16,87
2024-02-17,22
2024-02-18,15
2024-02-19,31
2024-02-20,77
2024-02-21,74
2024-02-22,81
2024-02-23,73
2024-02-24,20
2024-02-25,16
2024-02-26,77
2024-02-27,81
2024-02-28,80
2024-02-29,71
2024-03-01,59
2024-03-02,18
2024-03-03,12
2024-03-04,73
2024-03-05,82
2024-03-06,76
2024-03-07,78
2024-03-08,71
2024-03-09,18
2024-03-10,12
2024-03-11,61
2024-03-12,61
2024-03-13,79
2024-03-14,100
2024-03-15,84
2024-03-16,22
2024-03-17,16
2024-03-18,81
2024-03-19,76
2024-03-20,68
2024-03-21,66
2024-03-22,66
2024-03-23,18
2024-03-24,15
2024-03-25,59
2024-03-26,71
2024-03-27,67
2024-03-28,59
2024-03-29,29
2024-03-30,14
2024-03-31,12
