date,NVDA_unscaled
2024-01-01,11
2024-01-02,53
2024-01-03,51
2024-01-04,46
2024-01-05,49
2024-01-06,15
2024-01-07,10
2024-01-08,76
2024-01-09,96
2024-01-10,85
2024-01-11,82
2024-01-12,67
2024-01-13,18
2024-01-14,13
2024-01-15,22
2024-01-16,73
2024-01-17,69
2024-01-18,84
2024-01-19,96
2024-01-20,30
2024-01-21,20
2024-01-22,92
2024-01-23,77
2024-01-24,100
2024-01-25,93
2024-01-26,86
2024-01-27,24
2024-01-28,16
2024-01-29,76
2024-01-30,95
2024-01-31,85
2024-02-01,16
2024-02-02,21
2024-02-03,7
2024-02-04,4
2024-02-05,24
2024-02-06,26
2024-02-07,24
2024-02-08,24
2024-02-09,24
2024-02-10,9
2024-02-11,5
2024-02-12,26
2024-02-13,27
2024-02-14,27
2024-02-15,24
2024-02-16,25
2024-02-17,8
2024-02-18,5
2024-02-19,10
2024-02-20,39
2024-02-21,100
2024-02-22,96
2024-02-23,60
2024-02-24,15
2024-02-25,8
2024-02-26,30
2024-02-27,26
2024-02-28,23
2024-02-29,24
2024-03-01,46
2024-03-02,18
2024-03-03,12
2024-03-04,58
2024-03-05,57
2024-03-06,54
2024-03-07,70
2024-03-08,100
2024-03-09,33
2024-03-10,18
2024-03-11,65
2024-03-12,65
2024-03-13,67
2024-03-14,58
2024-03-15,53
2024-03-16,13
2024-03-17,11
2024-03-18,71
2024-03-19,73
2024-03-20,60
2024-03-21,57
2024-03-22,48
2024-03-23,16
2024-03-24,11
2024-03-25,53
2024-03-26,48
2024-03-27,49
2024-03-28,51
2024-03-29,19
2024-03-30,9
2024-03-31,7
